cohort_name,year,drug_name,frequency
opioid_ed,2016,SUPREP BOWEL PREP KIT,100
opioid_ed,2016,SENSIPAR,100
opioid_ed,2016,OFLOXACIN,99
opioid_ed,2016,ANASTROZOLE,99
opioid_ed,2016,MAGNESIUM OXIDE,99
opioid_ed,2016,EPZICOM,98
opioid_ed,2016,HYSINGLA ER,97
opioid_ed,2016,ISOSORBIDE DINITRATE,96
opioid_ed,2016,BUPROPION HYDROCHLORIDE,94
opioid_ed,2016,DEXAMETHASONE,94
opioid_ed,2016,TRAVATAN Z,94
opioid_ed,2016,HYDROCODONE POLISTIREX/CH,93
opioid_ed,2016,INVEGA SUSTENNA,93
opioid_ed,2016,LEFLUNOMIDE,92
opioid_ed,2016,NARCAN,91
opioid_ed,2016,PROGESTERONE,91
opioid_ed,2016,TAMIFLU,90
opioid_ed,2016,TOUJEO SOLOSTAR,90
opioid_ed,2016,CHOLESTYRAMINE,90
opioid_ed,2016,CLONAZEPAM ODT,90
opioid_ed,2016,GAVILYTE-G,90
opioid_ed,2016,BENICAR HCT,90
opioid_ed,2016,LIDOCAINE HCL JELLY,89
opioid_ed,2016,NEOMYCIN/POLYMYXIN/DEXAME,89
opioid_ed,2016,STOOL SOFTENER,89
opioid_ed,2016,PROMETHEGAN,88
opioid_ed,2016,PRADAXA,88
opioid_ed,2016,PATADAY,87
opioid_ed,2016,BENAZEPRIL HYDROCHLORIDE,87
opioid_ed,2016,LIALDA,86
opioid_ed,2016,KLOR-CON 10,86
opioid_ed,2016,MEGESTROL ACETATE,86
opioid_ed,2016,PALIPERIDONE ER,85
opioid_ed,2016,INDOMETHACIN,85
opioid_ed,2016,ISENTRESS,85
opioid_ed,2016,HALOPERIDOL DECANOATE,85
opioid_ed,2016,COLESTIPOL HCL,85
opioid_ed,2016,SULFASALAZINE,85
opioid_ed,2016,QUINAPRIL HCL,85
opioid_ed,2016,TERCONAZOLE,83
opioid_ed,2016,ACAMPROSATE CALCIUM DR,83
opioid_ed,2016,DRONABINOL,83
opioid_ed,2016,XOPENEX HFA,83
opioid_ed,2016,REXULTI,82
opioid_ed,2016,PERPHENAZINE,81
opioid_ed,2016,MAPAP,81
opioid_ed,2016,NYSTATIN/TRIAMCINOLONE,81
opioid_ed,2016,FLECTOR,81
opioid_ed,2016,REYATAZ,81
opioid_ed,2016,HUMULIN R U-500 (CONCENTR,81
opioid_ed,2016,FLUARIX QUADRIVALENT 2016,80
opioid_ed,2016,SOVALDI,80
opioid_ed,2016,STRIBILD,80
opioid_ed,2016,NADOLOL,80
opioid_ed,2016,HYDRALAZINE HCL,80
opioid_ed,2016,NYSTOP,80
opioid_ed,2016,BUDESONIDE,79
opioid_ed,2016,FENOFIBRIC ACID DR,79
opioid_ed,2016,TRETINOIN,78
opioid_ed,2016,MIRTAZAPINE ODT,78
opioid_ed,2016,NIACIN ER,78
opioid_ed,2016,AMMONIUM LACTATE,77
opioid_ed,2016,CYPROHEPTADINE HYDROCHLOR,76
opioid_ed,2016,SILVER SULFADIAZINE,76
opioid_ed,2016,BISOPROLOL FUMARATE/HYDRO,76
opioid_ed,2016,JANUMET,76
opioid_ed,2016,ZOSTAVAX,76
opioid_ed,2016,FAMCICLOVIR,75
opioid_ed,2016,SILDENAFIL CITRATE,75
opioid_ed,2016,ADVAIR HFA,75
opioid_ed,2016,JANUMET XR,74
opioid_ed,2016,THEOPHYLLINE ER,74
opioid_ed,2016,CLOZAPINE,73
opioid_ed,2016,ULORIC,73
opioid_ed,2016,NORVIR,73
opioid_ed,2016,HUMULIN 70/30,73
opioid_ed,2016,MINOCYCLINE HYDROCHLORIDE,72
opioid_ed,2016,BENICAR,72
opioid_ed,2016,RAPAFLO,72
opioid_ed,2016,TRAMADOL HYDROCHLORIDE/AC,71
opioid_ed,2016,ATENOLOL/CHLORTHALIDONE,71
opioid_ed,2016,HORIZANT,71
opioid_ed,2016,NEOMYCIN/POLYMYXIN/HYDROC,70
opioid_ed,2016,MISOPROSTOL,70
opioid_ed,2016,CONSTULOSE,70
opioid_ed,2016,PROMETHAZINE/CODEINE,69
opioid_ed,2016,ALPRAZOLAM XR,69
opioid_ed,2016,TRI-SPRINTEC,68
opioid_ed,2016,TOLTERODINE TARTRATE ER,68
opioid_ed,2016,VYTORIN,68
opioid_ed,2016,NORETHINDRONE,67
opioid_ed,2016,ATROVENT HFA,67
opioid_ed,2016,DILTIAZEM HCL ER,67
opioid_ed,2016,LEVETIRACETAM ER,66
opioid_ed,2016,PULMICORT FLEXHALER,66
opioid_ed,2016,NOVOFINE PEN NEEDLE 32G X,66
opioid_ed,2016,FLUVIRIN 2016-2017,66
opioid_ed,2016,FREESTYLE LANCETS,66
opioid_ed,2016,CYMBALTA,66
opioid_ed,2016,SURE COMFORT INSULIN SYRI,65
opioid_ed,2016,SSD,65
opioid_ed,2016,VIREAD,64
opioid_ed,2016,VRAYLAR,64
opioid_ed,2016,ASPIR-LOW,64
opioid_ed,2016,NORGESTIMATE/ETHINYL ESTR,63
opioid_ed,2016,ORPHENADRINE CITRATE ER,63
opioid_ed,2016,SILENOR,63
opioid_ed,2016,AXIRON,63
opioid_ed,2016,BETAMETHASONE DIPROPIONAT,62
opioid_ed,2016,GLYBURIDE,62
opioid_ed,2016,ENBREL SURECLICK,62
opioid_ed,2016,CLORAZEPATE DIPOTASSIUM,62
opioid_ed,2016,RELISTOR,62
opioid_ed,2016,ALLERGY RELIEF,61
opioid_ed,2016,GENERLAC,61
opioid_ed,2016,DESMOPRESSIN ACETATE,61
opioid_ed,2016,VALPROIC ACID,61
opioid_ed,2016,CABERGOLINE,60
opioid_ed,2016,EMBEDA,60
opioid_ed,2016,AFLURIA PF 2016-2017,59
opioid_ed,2016,ATRIPLA,59
opioid_ed,2016,NOVOLOG MIX 70/30 PREFILL,59
opioid_ed,2016,ZALEPLON,58
opioid_ed,2016,FEXOFENADINE HYDROCHLORID,58
opioid_ed,2016,APRI,58
opioid_ed,2016,BETHANECHOL CHLORIDE,58
opioid_ed,2016,PREMPRO,58
opioid_ed,2016,DILANTIN,58
opioid_ed,2016,FETZIMA,57
opioid_ed,2016,NICOTINE,57
opioid_ed,2016,RIBAVIRIN,57
opioid_ed,2016,PROAIR RESPICLICK,57
opioid_ed,2016,DOK,57
opioid_ed,2016,PENTOXIFYLLINE ER,57
opioid_ed,2016,BISOPROLOL FUMARATE,57
opioid_ed,2016,PROSOL,57
opioid_ed,2016,DORZOLAMIDE HCL,57
opioid_ed,2016,MEPERIDINE HCL,56
opioid_ed,2016,HUMULIN R,56
opioid_ed,2016,ARMODAFINIL,56
opioid_ed,2016,GLUCAGON EMERGENCY KIT,56
opioid_ed,2016,MUCINEX,56
opioid_ed,2016,DIGOX,56
opioid_ed,2016,FISH OIL,55
opioid_ed,2016,RELPAX,55
opioid_ed,2016,WELCHOL,55
opioid_ed,2016,ALFUZOSIN HCL ER,55
opioid_ed,2016,GUANFACINE ER,54
