feature,importance_normalized,importance_scaled,n_models
item_MAGNESIUM OXIDE,0.005841434708560051,0.005081839573779082,3
item_R6883,0.005841315694258009,0.005081736035586816,3
item_73060,0.005841267556033974,0.005081694157051128,3
item_84402,0.005841136942763828,0.005081580528170861,3
item_Z202,0.005840984894824535,0.005081448251893959,3
item_VIMPAT,0.005840890245301984,0.00508136591018968,3
item_M064,0.005840865764984148,0.00508134461318746,3
item_J0744,0.005840843212550141,0.005081324993375318,3
item_H1013,0.005840777866905938,0.005081268144998634,3
item_LATANOPROST,0.005840713598723983,0.005081212233975625,3
item_E875,0.00584065386354649,0.005081160266504605,3
item_J2791,0.005840609208906363,0.005081121418562503,3
item_M1711,0.005840546260491142,0.005081066655689419,3
item_LARISSIA,0.005840385074007332,0.005080926429205165,3
item_O4691,0.005840316462100155,0.005080866739296345,3
item_00813,0.005840272788808375,0.005080828745092258,3
item_L0390,0.005840222654830643,0.00508078513032213,3
item_D229,0.005840195353515833,0.005080761379153293,3
item_F70,0.005840177799121834,0.005080746107457456,3
item_S0083XA,0.0058400962242495524,0.005080675140231959,3
item_S93402A,0.005840033123793409,0.005080620245088702,3
item_GENTAMICIN SULFATE,0.00583997509173039,0.005080569759266448,3
item_GUANFACINE ER,0.0058399641916128935,0.005080560276553517,3
item_O09521,0.005839944787227792,0.005080543395431493,3
item_83615,0.0058399131210724806,0.005080515847007305,3
item_R87610,0.005839787067002061,0.005080406184467972,3
item_N926,0.005839755613297473,0.005080378820868326,3
item_ALBENZA,0.005839754059955107,0.005080377469515945,3
item_99211,0.005839679114108835,0.0050803122693063255,3
item_M79605,0.005839651413005455,0.00508028817033571,3
item_S3992XA,0.005839638800300456,0.005080277197732815,3
item_90714,0.005839621980898412,0.005080262565453729,3
item_J3411,0.0058396174158900395,0.005080258594059481,3
item_Z7189,0.005839587857506373,0.005080232879321348,3
item_FERROUS SULFATE,0.005839572597097162,0.005080219603310349,3
item_N809,0.005839538173334925,0.005080189655866624,3
item_BUDESONIDE,0.00583953759031835,0.005080189148663025,3
item_LIOTHYRONINE SODIUM,0.00583933130319118,0.005080009686229785,3
item_J00,0.0058391860700519145,0.005079883338585521,3
item_M62830,0.005839108442556464,0.00507981580543689,3
item_O09513,0.005839022034434545,0.0050797406334568244,3
item_H2017,0.005838972363165728,0.005079697421226928,3
item_87801,0.005838718704507946,0.0050794767472538945,3
item_F10120,0.0058386460860943715,0.0050794135718276,3
item_K8590,0.005838635035543768,0.005079403958243237,3
item_D2339,0.005838484624427732,0.005079273105944112,3
item_C73,0.005838482106046342,0.0050792709150422445,3
item_J1030,0.005838385965932182,0.005079187276576501,3
item_00670,0.005838369005367214,0.005079172521490713,3
item_64636,0.005838357017971637,0.0050791620928846825,3
item_85007,0.005838344777830026,0.005079151444398629,3
item_74230,0.005838229280687605,0.00507905096600962,3
item_59514,0.005838139830674775,0.005078973147693101,3
item_NABUMETONE,0.0058381302004491585,0.005078964769740752,3
item_N83292,0.005838065560582125,0.005078908535365,3
item_L2089,0.0058378710069375795,0.0050787392806425895,3
item_62270,0.005837713789291094,0.005078602506905063,3
item_MUCINEX,0.005837571605859307,0.005078478812397388,3
item_Z114,0.005837381447136462,0.0050783133810998965,3
item_CITALOPRAM,0.005837331387354905,0.005078269830877791,3
item_64635,0.005837302022309034,0.005078244284336634,3
item_F430,0.005837282818400103,0.005078227577621718,3
item_ESOMEPRAZOLE MAGNESIUM,0.0058372782440661705,0.005078223598114566,3
item_ZOLPIDEM TARTRATE,0.005837256355502701,0.005078204555846082,3
item_M25512,0.005837223925679576,0.0050781763430581715,3
item_92556,0.0058371180995482885,0.005078084278103456,3
item_O209,0.005837117147584788,0.005078083449929209,3
item_77001,0.005837071293748546,0.005078043558729316,3
item_BETAMETHASONE VALERATE,0.005837059685686673,0.005078033460130059,3
item_86735,0.005836992549252155,0.0050779750538297586,3
item_01996,0.0058369683049100595,0.0050779539621180056,3
item_12002,0.0058369385215648675,0.005077928051671379,3
item_E876,0.005836861465384533,0.005077861015546494,3
item_94618,0.005836835875566457,0.005077838753318691,3
item_J9601,0.0058367248473118905,0.005077742162702513,3
item_S20211A,0.005836543526718111,0.00507758442026166,3
item_87255,0.005836472933744187,0.005077523006895523,3
item_CLOTRIMAZOLE/BETAMETHASON,0.005836468229785555,0.0050775189146195126,3
item_PHENAZOPYRIDINE HCL,0.005836311232698009,0.005077382332760385,3
item_E049,0.0058363032969435255,0.005077375428937405,3
item_R12,0.005836295881544373,0.005077368977804978,3
item_58662,0.005836287680274796,0.005077361842993349,3
item_J2370,0.005836220413357446,0.005077303323177644,3
item_R8290,0.005836191313497565,0.0050772780073388285,3
item_O471,0.005836190249752229,0.005077277081918377,3
item_F22,0.005836168333801897,0.0050772580158243005,3
item_29540,0.0058361196679097786,0.005077215678236225,3
item_83525,0.0058360677543824475,0.005077170515321501,3
item_86696,0.005835937591522292,0.0050770572782818406,3
item_H109,0.005835904034721174,0.005077028085063324,3
item_HYDROXYCHLOROQUINE SULFAT,0.005835876180024907,0.005077003852472383,3
item_R102,0.005835856980662583,0.005076987149712852,3
item_M799,0.005835843432750578,0.005076975363513262,3
item_I428,0.005835814616860076,0.0050769502947176645,3
item_82270,0.00583577898116805,0.005076919292938305,3
item_NORTRIPTYLINE HYDROCHLORI,0.005835769873735424,0.005076911369797185,3
item_RA COL-RITE,0.005835746726277605,0.005076891232335578,3
item_DEXAMETHASONE,0.005835696452767864,0.005076847496177586,3
item_N6452,0.0058356584795591126,0.0050768144608421585,3
item_81420,0.005835648007285696,0.005076805350338296,3
item_F320,0.0058356158387495045,0.005076777364860685,3
