title,pubdate,pmc_id,authors
Long-term patterns of treatment use for opioid use disorder (OUD): Findings from the 18-20-year Australian Treatment Outcome Study.,2023,NA,"Wilson, Mills, Sunderland, Freeman, Keaveny, Haasnoot, Teesson, Haber, Marel"
"Long-term recovery from opioid use disorder: recovery subgroups, transition states and their association with substance use, treatment and quality of life.",2023,NA,"Craft, Shin, Tegge, Keith, Athamneh, Stein, Ferreira, Chilcoat, Le Moigne, DeVeaugh-Geiss, Bickel"
Longitudinal Imaging in a Patient With Opioid-associated Amnestic Syndrome.,2023,PMC10527331,"Barash, Schmahmann, Xie, Lev, El Fakhri"
Longitudinal K-means approaches to clustering and analyzing EHR opioid use trajectories for clinical subtypes.,2021,PMC9035269,"Mullin, Zola, Lee, Hu, MacKenzie, Brickman, Anaya, Sinha, Li, Elkin"
Longitudinal associations between pain and substance use disorder treatment outcomes.,2022,PMC11025107,"Ferguson, Lewis, Teitelbaum, Reisfield, Robinson, Boissoneault"
Longitudinal patterns of momentary stress during outpatient opioid agonist treatment: A growth-mixture-model approach to classifying patients.,2021,PMC8377984,"Burgess-Hull, Smith, Schriefer, Panlilio, Epstein, Preston"
Longitudinal patterns of opioid dispensing dosages for compensated Australian workers with low back pain: a 3.5-year follow-up study.,2025,PMC12230403,"Ren, Xia, Mathieson, Abdel Shaheed, Nielsen, Collie, Di Donato"
Longitudinal trajectories of prescription opioid misuse in adolescents.,2022,PMC10027390,"Kelley-Quon, Cho, Barrington-Trimis, Kipke, Clapp, Krueger, Leventhal"
Longitudinal trajectories of substance use disorder treatment use: A latent class growth analysis using a national cohort in Chile.,2024,PMC11766828,"Bórquez, Cerdá, González-Santa Cruz, Krawczyk, Castillo-Carniglia"
MTHFR allele and one-carbon metabolic profile predict severity of COVID-19.,2025,PMC12745694,"Petrova, Syphurs, Culhane, Chen, Chen, Cotsapas, Esserman, Montgomery, Kleinstein, Smolen, Mendez, Lasky-Su, Steen, Levy, Diray-Arce, Kanarek"
Making a business plan for starting a transitional pain service within the US healthcare system.,2021,NA,"Sun, Mariano, Narouze, Gabriel, Elsharkawy, Gulur, Merrick, Harrison, Clark"
Microelectrode recording characterization of the nucleus accumbens and the anterior limb of internal capsule in patients with addiction.,2024,NA,"Li, Li, Wang, Chen, Su, Zheng, Li, Wang, Jing, Wang, Ge"
Modeling the evolution of the US opioid crisis for national policy development.,2022,PMC9191351,"Lim, Stringfellow, Stafford, DiGennaro, Homer, Wakeland, Eggers, Kazemi, Glos, Ewing, Bannister, Humphreys, Throckmorton, Jalali"
Mutual Mistrust: The Multilayered Experiences at the Intersection of Healthcare and Early Parenting Among Mothers With Opioid Use Disorder.,NA,PMC10872799,"Schiff, Muftu, MacMillan, Work, Hoeppner, Greenfield, Schwartz, Chaiyachati, Wilens, Bernstein"
"Neuroimmune Mechanisms of Opioid Use Disorder and Recovery: Translatability to Human Studies, and Future Research Directions.",2023,PMC10720374,"Butelman, Goldstein, Nwaneshiudu, Girdhar, Roussos, Russo, Alia-Klein"
One-year opioid consumption trajectories among individuals receiving multidisciplinary postsurgical care: a single-center observational study from the Toronto General Hospital Transitional Pain Service.,2025,NA,"Pagé, Katz, Darville, Gabriel, Ladha, Huang, Ganty, Katznelson, Tamir, Fiorellino, Kahn, Tao, Slepian, Wieskopf, Clarke"
Opioid Agonist Therapy Adherence Trajectories Among Commercially and Publicly Insured People Living With Hepatitis C in the United States.,2025,PMC12721478,"Psaras, Arah, Chew, Lee, Javanbakht, Nianogo, Seamans"
"Opioid Dose Trajectories and Associations With Mortality, Opioid Use Disorder, Continued Opioid Therapy, and Health Plan Disenrollment.",2022,PMC9535531,"Binswanger, Shetterly, Xu, Narwaney, McClure, Rinehart, Nguyen, Glanz"
Opioid Use Patterns in a Statewide Adult Medicaid Population Undergoing Elective Lumbar Spine Surgery.,2023,PMC9825641,"Reitman, Ward, Taber, Moran, McCauley, Basco, Gebregziabher, Lockett, Ball"
Opioid dose trajectories and associations with opioid- and nonopioid-related emergency department presentations and hospital admissions.,2025,NA,"Xia, Picco, Rowland, Russell, Ilomaki, Andrew, Lalic, Buchbinder, Lubman, Nielsen"
"Opioid maintenance treatment in the Czech Republic, Norway and Denmark: a study protocol of a comparative registry linkage study.",2021,PMC8112418,"Gabrhelík, Handal, Mravčík, Nechanská, Tjagvad, Thylstrup, Hesse, Minařík, Jarkovský, Bukten, Clausen, Skurtveit"
Opioid prescribing patterns for acute pain.,2022,NA,"Hadlandsmyth, Mosher, Bayman, Mares, Odom, Lund"
Oral Prescription Opioids as a High-Risk Indicator for Hepatitis C Infection: Another Step Toward HCV Elimination.,2021,PMC8414604,"Hack, Timalsina, Tefera, Wilkerson, Paku, Fernandez, Fishbein"
Outcomes of Babies with Opioid Exposure (OBOE): protocol of a prospective longitudinal cohort study.,2023,PMC9971338,"Bann, Newman, Poindexter, Okoniewski, DeMauro, Lorch, Wilson-Costello, Ambalavanan, Peralta-Carcelen, Limperopoulos, Kapse, Davis, Walsh, Merhar"
Pain intensity in patients using extended-release naltrexone or opioid agonists and its effect on extended-release naltrexone treatment outcomes.,2025,NA,"Juya, Solli, Holtan, Sannes, Weimand, Sagen, Benth, Gjerstad, Tanum, Mordal"
Patient outcomes after opioid dose reduction among patients with chronic opioid therapy.,2022,PMC8494834,"Hallvik, El Ibrahimi, Johnston, Geddes, Leichtling, Korthuis, Hartung"
Perceptions of prescription opioid medication within the context of cancer survivorship and the opioid epidemic.,2021,PMC4616728,"Tyson, Chavez, Lake, Gutierrez, Sherry, Rigg, Marshall, Henderson, di Ciccone, Rajasekhara, Pabbathi"
Perinatal oxycodone exposure causes long-term sex-dependent changes in weight trajectory and sensory processing in adult mice.,2022,PMC4376496,"Minakova, Mikati, Madasu, Conway, Baldwin, Swift, McCullough, Dougherty, Maloney, Al-Hasani"
Persistent postoperative opioid use after total hip or knee arthroplasty: A systematic review and meta-analysis.,2022,PMC8513405,"Tay, Wang, Narayan, Penm, Patanwala"
Personal recovery among people with opioid use disorder during treatment with extended-release naltrexone.,2023,PMC10336734,"Marciuch, Birkeland, Benth, Solli, Tanum, Mathisen, Weimand"
Perspectives and experiences with sleep and recovery among women receiving buprenorphine for opioid use disorder.,2025,PMC12393156,"Eglovitch, Parlier-Ahmad, Patev, Cook, Shi, Violante, Dzierzewski, James, Martin"
Polydrug use among patients on methadone medication treatment: Evidence from urine drug testing to inform patient safety.,2023,PMC10330099,"Saloner, Whitley, Dawson, Passik, Gordon, Stein"
Post-injury benzodiazepine and opioid use among older adults involved in road traffic crashes: A Swedish register-based longitudinal study.,2022,NA,"Duchesne, Laflamme, Lu, Lagarde, Möller"
"Precarious Lives, Precarious Treatments: Making Drug Treatment Work in Northern Myanmar.",2023,NA,"Rhodes, Kyaw, Harris"
Predicting first use of heroin from prescription opioid use subtypes: Insights from the Monitoring the Future longitudinal panel.,2024,PMC10842745,"Dash, Gizer, Slutske"
Preferences and predictors driving opioid-involved polysubstance use profiles and trajectories: a prospective cohort study protocol.,2025,PMC12699772,"Campbell, Lafayette, Vallejo Vasquez, Rivard, Diamond, Nguyen, Caputo, Lothumalla, Rodriguez, Tomlinson, Bonar, Goldstick, Walton, Lee, Menke, Lin, Coughlin"
Prenatal Opioid Exposure and Neurodevelopmental Outcomes.,2023,NA,"Lee, Saraiya, Kuzniewicz"
Preoperative Chronic Opioid Trajectories: A Change (in Any Direction) Would Do You Good?,2021,NA,Tighe
Prescriptions of analgesics during chronic cancer disease trajectories: A complete national cohort study.,2021,NA,"Fredheim, Skurtveit, Sjøgren, Aljabri, Hjellvik"
Prevalence and Its Correlation with Sustained Opioid Use in Korea: A Group-Based Trajectory Analysis.,2021,NA,"Yoon, Lee, Baek, Jeong, Shin"
Prevalence and Outcomes of Opioid Use Disorder in Pediatric Surgical Patients: A Retrospective Cohort Study.,2023,NA,"Alalade, Mpody, Owusu-Bediako, Tobias, Nafiu"
