drug_name,cpic_drug_name,gene,gene_name,relationship_type,evidence_level,clinical_significance,cpic_level,guideline_id,guideline_url,source
RA TUSSIN CHEST CONGESTIO,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA TUSSIN CHEST CONGESTIO,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA MOISTURIZING THERAPY,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA MOISTURIZING THERAPY,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RIBAVIRIN,ribavirin,VDR,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA CHEWABLE VITAMINS COMP,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA CHEWABLE VITAMINS COMP,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA CETIRIZINE HCL CHILDRE,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA CETIRIZINE HCL CHILDRE,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA CETIRIZINE,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA CETIRIZINE,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA BUDESONIDE NASAL SPRAY,budesonide,CRHR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA PAIN RELIEF ACETAMINOP,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA PAIN RELIEF ACETAMINOP,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA OMEPRAZOLE,omeprazole,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ROSUVASTATIN CALCIUM,rosuvastatin,ABCG2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ROSUVASTATIN CALCIUM,rosuvastatin,SLCO1B1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ROSUVASTATIN CALCIUM,rosuvastatin,CYP3A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ROSUVASTATIN CALCIUM,rosuvastatin,CYP3A5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ROSUVASTATIN CALCIUM,rosuvastatin,HMGCR,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ROSUVASTATIN CALCIUM,rosuvastatin,COQ2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ROSUVASTATIN CALCIUM,rosuvastatin,LPA,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA MICONAZOLE 7,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA MICONAZOLE 7,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA MELATONIN,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA MELATONIN,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RABEPRAZOLE SODIUM,rabeprazole,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA URINARY TRACT PAIN REL,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA URINARY TRACT PAIN REL,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA COLD & COUGH CHILDRENS,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA COLD & COUGH CHILDRENS,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA NAPROXEN SODIUM,naproxen,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA TUSSIN COUGH/CHEST CON,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA TUSSIN COUGH/CHEST CON,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA ALLERGY RELIEF,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA ALLERGY RELIEF,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA ACETAMINOPHEN EXTRA ST,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA ACETAMINOPHEN EXTRA ST,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA ACETAMINOPHEN,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA ACETAMINOPHEN,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA 12 HOUR NASAL SPRAY,aripiprazole,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
RA 12 HOUR NASAL SPRAY,aripiprazole,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MECLIZINE HCL,meclizine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
QC NON-ASPIRIN EXTRA STRE,aspirin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
QC NON-ASPIRIN EXTRA STRE,aspirin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
QC NON-ASPIRIN EXTRA STRE,aspirin,HLA-DPB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
QC NON-ASPIRIN EXTRA STRE,aspirin,GP1BA,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
QC NON-ASPIRIN EXTRA STRE,aspirin,LTC4S,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
QC NON-ASPIRIN EXTRA STRE,aspirin,PTGS1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VITAMIN E,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
VITAMIN D-400,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NON-ASPIRIN PAIN RELIEVER,aspirin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NON-ASPIRIN PAIN RELIEVER,aspirin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NON-ASPIRIN PAIN RELIEVER,aspirin,HLA-DPB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NON-ASPIRIN PAIN RELIEVER,aspirin,GP1BA,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NON-ASPIRIN PAIN RELIEVER,aspirin,LTC4S,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NON-ASPIRIN PAIN RELIEVER,aspirin,PTGS1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NADOLOL,nadolol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NADOLOL,nadolol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NADOLOL,nadolol,ADRB2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NADOLOL,nadolol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NADOLOL,nadolol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NAPROXEN SODIUM CR,naproxen,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NAPROXEN DR,naproxen,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NALOXONE HYDROCHLORIDE,naloxone,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NALOXONE HCL,naloxone,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NP THYROID 30,phenprocoumon,CYP4F2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NICOTINE POLACRILEX START,nicotine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NICOTINE POLACRILEX START,nicotine,CHRNA3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NICOTINE,nicotine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NICOTINE,nicotine,CHRNA3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NITROFURANTOIN,nitrofurantoin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NEUTRAL SODIUM FLUORIDE,sodium nitrite,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
NEOMYCIN/POLYMYXIN/GRAMIC,neomycin,MT-RNR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MICONAZOLE,voriconazole,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MERCAPTOPURINE,mercaptopurine,NUDT15,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MERCAPTOPURINE,mercaptopurine,TPMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MICONAZOLE NITRATE,voriconazole,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MORPHINE SULFATE,morphine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MORPHINE SULFATE,morphine,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MIRTAZAPINE ODT,mirtazapine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MIRTAZAPINE ODT,mirtazapine,FKBP5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OB COMPLETE PETITE,clobazam,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OLANZAPINE/FLUOXETINE,fluoxetine,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OLANZAPINE/FLUOXETINE,fluoxetine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OLANZAPINE/FLUOXETINE,fluoxetine,GRIK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OLANZAPINE/FLUOXETINE,fluoxetine,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OLANZAPINE/FLUOXETINE,fluoxetine,SLC6A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OLANZAPINE/FLUOXETINE,fluoxetine,FKBP5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OMEPRAZOLE/SODIUM BICARBO,omeprazole,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHYLPHENIDATE HCL ER,methylphenidate,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHADONE HCL,methadone,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHADONE HCL,methadone,CYP2B6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHADONE HCL,methadone,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METHADONE HCL,methadone,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
MESALAMINE DR,mesalazine,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OXAZEPAM,oxazepam,UGT2B15,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OXYCODONE HCL ER,oxycodone,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OXYCODONE HCL ER,oxycodone,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OXYCODONE HCL ER,oxycodone,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OXYCODONE HCL,oxycodone,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OXYCODONE HCL,oxycodone,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OXYCODONE HCL,oxycodone,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
METFORMIN HYDROCHLORIDE E,metformin,C11orf65,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
OB COMPLETE,clobazam,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SALICYLIC ACID CREAM,aminosalicylic acid,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM NASAL DECONGESTANT PE,esmolol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM NASAL DECONGESTANT PE,esmolol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM NASAL DECONGESTANT PE,esmolol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM NASAL DECONGESTANT PE,esmolol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM FEXOFENADINE HYDROCHLO,esmolol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM FEXOFENADINE HYDROCHLO,esmolol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM FEXOFENADINE HYDROCHLO,esmolol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM FEXOFENADINE HYDROCHLO,esmolol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM ALL DAY ALLERGY,esmolol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM ALL DAY ALLERGY,esmolol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM ALL DAY ALLERGY,esmolol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM ALL DAY ALLERGY,esmolol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM ACID REDUCER,esmolol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM ACID REDUCER,esmolol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM ACID REDUCER,esmolol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM ACID REDUCER,esmolol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM PRENATAL VITAMINS,esmolol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM PRENATAL VITAMINS,esmolol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM PRENATAL VITAMINS,esmolol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM PRENATAL VITAMINS,esmolol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM MIGRAINE RELIEF,esmolol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM MIGRAINE RELIEF,esmolol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM MIGRAINE RELIEF,esmolol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM MIGRAINE RELIEF,esmolol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM LORATADINE,esmolol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM LORATADINE,esmolol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM LORATADINE,esmolol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM LORATADINE,esmolol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SALICYLIC ACID WART REMOV,aminosalicylic acid,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SODIUM CHLORIDE,divalproex sodium,POLG,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM TUSSIN DM COUGH/CHEST,esmolol,ADRA2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM TUSSIN DM COUGH/CHEST,esmolol,ADRB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM TUSSIN DM COUGH/CHEST,esmolol,GRK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SM TUSSIN DM COUGH/CHEST,esmolol,GRK5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SELSUN BLUE MEDICATED,methylene blue,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SULFASALAZINE,sulfasalazine,NAT2,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SULFASALAZINE,sulfasalazine,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SULFACETAMIDE SODIUM/SULF,sulfacetamide,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SULFACETAMIDE SODIUM,sulfacetamide,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SF 5000 PLUS,desflurane,CACNA1S,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SF 5000 PLUS,desflurane,RYR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SF,desflurane,CACNA1S,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
SF,desflurane,RYR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TRAMADOL HYDROCHLORIDE/AC,tramadol,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TRAMADOL HYDROCHLORIDE/AC,tramadol,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TRAMADOL HYDROCHLORIDE/AC,tramadol,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TH MAGNESIUM,azathioprine,NUDT15,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TH MAGNESIUM,azathioprine,TPMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TH LORATADINE-D,azathioprine,NUDT15,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
TH LORATADINE-D,azathioprine,TPMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DICLOFENAC SODIUM/MISOPRO,diclofenac,CYP2C8,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DICLOFENAC SODIUM/MISOPRO,diclofenac,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DIAZEPAM RECTAL GEL,diazepam,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DESIPRAMINE HCL,desipramine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DESONIDE,budesonide,CRHR1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DEXMETHYLPHENIDATE HCL,methylphenidate,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DIGOX,digoxin,ABCB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DIVALPROEX SODIUM,divalproex sodium,POLG,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
DONEPEZIL HCL,donepezil,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ELFOLATE,l-methylfolate,MTHFR,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
EQ NICOTINE STEP 3,nicotine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
EQ NICOTINE STEP 3,nicotine,CHRNA3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
EQ NICOTINE POLACRILEX,nicotine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
EQ NICOTINE POLACRILEX,nicotine,CHRNA3,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
EPITOL,pitolisant,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ERRIN,flibanserin,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ERRIN,flibanserin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
ERRIN,flibanserin,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CODEINE SULFATE,codeine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CODEINE SULFATE,codeine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CODEINE SULFATE,codeine,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CLOZAPINE ODT,clozapine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CLOZAPINE ODT,clozapine,HTR2C,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CLOZAPINE ODT,clozapine,MC4R,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CLOZAPINE ODT,clozapine,ANKK1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS ACID CONTROLLER MAXIM,carglumic acid,NAGS,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CHILDRENS IBUPROFEN,ibuprofen,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CHILDRENS IBUPROFEN,ibuprofen,CYP2C8,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CIPROFLOXACIN HCL,ciprofloxacin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CIPROFLOXACIN,ciprofloxacin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARBAMAZEPINE ER,carbamazepine,HLA-A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARBAMAZEPINE ER,carbamazepine,HLA-B,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARBAMAZEPINE ER,carbamazepine,SCN1A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARBAMAZEPINE ER,carbamazepine,EPHX1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CARISOPRODOL,carisoprodol,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CITALOPRAM,citalopram,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CITALOPRAM,citalopram,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CITALOPRAM,citalopram,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CITALOPRAM,citalopram,GRIK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CITALOPRAM,citalopram,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CITALOPRAM,citalopram,SLC6A4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CITALOPRAM,citalopram,FKBP5,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CIPROFLOXACIN ER,ciprofloxacin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CLOMIPRAMINE HCL,clomipramine,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CLOMIPRAMINE HCL,clomipramine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS NON-ASPIRIN EXTRA STR,aspirin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS NON-ASPIRIN EXTRA STR,aspirin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS NON-ASPIRIN EXTRA STR,aspirin,HLA-DPB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS NON-ASPIRIN EXTRA STR,aspirin,GP1BA,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS NON-ASPIRIN EXTRA STR,aspirin,LTC4S,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS NON-ASPIRIN EXTRA STR,aspirin,PTGS1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS NAPROXEN SODIUM,naproxen,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS VITAMIN D3,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS VITAMIN D,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
CVS VITAMIN C,vitamin c,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FIRST-LANSOPRAZOLE,lansoprazole,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUOXETINE DR,fluoxetine,CYP2C19,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUOXETINE DR,fluoxetine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUOXETINE DR,fluoxetine,GRIK4,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
FLUOXETINE DR,fluoxetine,HTR2A,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED
