drug_name,cpic_drug_name,gene,gene_name,relationship_type,evidence_level,clinical_significance,cpic_level,guideline_id,guideline_url,source,variant_id,allele_name,allele_function,allele_frequency_global,allele_frequency_afr,allele_frequency_amr,allele_frequency_eas,allele_frequency_eur,allele_frequency_sas,allele_frequency_assigned,frequency_source,frequency_assignment_method
ASPIRIN EC,aspirin,PTGS1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
GUAIFENESIN/CODEINE,codeine,CYP2D6,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
GUAIFENESIN/CODEINE,codeine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
GUAIFENESIN/CODEINE,codeine,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
MORPHINE SULFATE ER,morphine,COMT,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
MORPHINE SULFATE ER,morphine,OPRM1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
SODIUM POLYSTYRENE SULFON,divalproex sodium,POLG,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
BUTALBITAL/ASPIRIN/CAFFEI,aspirin,CYP2C9,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
BUTALBITAL/ASPIRIN/CAFFEI,aspirin,G6PD,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
BUTALBITAL/ASPIRIN/CAFFEI,aspirin,HLA-DPB1,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
BUTALBITAL/ASPIRIN/CAFFEI,aspirin,GP1BA,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
BUTALBITAL/ASPIRIN/CAFFEI,aspirin,LTC4S,,metabolism,CPIC,,,,,CPIC_PAIRS_FUZZY_MATCHED,,,,,,,,,,,CPIC_API_error,api_error
