feature,importance_normalized,importance_scaled
item_77072,0.14134229479613455,0.03077407236697657
item_78060,0.14134229479613455,0.03077407236697657
item_7812,0.14134229479613455,0.03077407236697657
item_78605,0.14134229479613455,0.03077407236697657
item_73600,0.14134229479613455,0.03077407236697657
item_73610,0.14134229479613455,0.03077407236697657
item_74000,0.14134229479613455,0.03077407236697657
item_74177,0.14134229479613455,0.03077407236697657
item_74181,0.14134229479613455,0.03077407236697657
item_74241,0.14134229479613455,0.03077407236697657
item_72709,0.14134229479613455,0.03077407236697657
item_73060,0.14134229479613455,0.03077407236697657
item_73080,0.14134229479613455,0.03077407236697657
item_73110,0.14134229479613455,0.03077407236697657
item_73552,0.14134229479613455,0.03077407236697657
item_QVAR,0.14134229479613455,0.03077407236697657
item_R000,0.14134229479613455,0.03077407236697657
item_R05,0.14134229479613455,0.03077407236697657
item_R0600,0.14134229479613455,0.03077407236697657
item_R0602,0.14134229479613455,0.03077407236697657
item_R0603,0.14134229479613455,0.03077407236697657
item_R0683,0.14134229479613455,0.03077407236697657
item_PROMETHAZINE HCL PLAIN,0.14134229479613455,0.03077407236697657
item_S5002X,0.14134229479613455,0.03077407236697657
item_CLARITIN REDITABS,0.14134229479613455,0.03077407236697657
item_CLINDAMYCIN PHOSPHATE,0.14134229479613455,0.03077407236697657
item_CLOBETASOL PROPIONATE,0.14134229479613455,0.03077407236697657
item_CLONIDINE HYDROCHLORIDE,0.14134229479613455,0.03077407236697657
item_CODEINE/GUAIFENESIN,0.14134229479613455,0.03077407236697657
item_BROMPHEN/PSEUDOEPHEDRINE,0.14134229479613455,0.03077407236697657
item_BUDESONIDE,0.14134229479613455,0.03077407236697657
item_BUSPIRONE HYDROCHLORIDE,0.14134229479613455,0.03077407236697657
item_96360,0.14134229479613455,0.03077407236697657
item_96361,0.14134229479613455,0.03077407236697657
item_96374,0.14134229479613455,0.03077407236697657
item_96375,0.14134229479613455,0.03077407236697657
item_95115,0.14134229479613455,0.03077407236697657
item_95165,0.14134229479613455,0.03077407236697657
item_95819,0.14134229479613455,0.03077407236697657
item_96101,0.14134229479613455,0.03077407236697657
item_92015,0.14134229479613455,0.03077407236697657
item_92060,0.14134229479613455,0.03077407236697657
item_92567,0.14134229479613455,0.03077407236697657
item_93005,0.14134229479613455,0.03077407236697657
item_99420,0.14134229479613455,0.03077407236697657
item_99471,0.14134229479613455,0.03077407236697657
item_99472,0.14134229479613455,0.03077407236697657
item_A0839,0.14134229479613455,0.03077407236697657
