title,pubdate,pmc_id,authors,Selected,Category
Longer-Term All-Cause and Cardiovascular Mortality With Intensive Blood Pressure Control: A Secondary Analysis of a Randomized Clinical Trial.,2022,PMC9558058,"Jaeger, Bress, Bundy, Cheung, Cushman, Drawz, Johnson, Lewis, Oparil, Rocco, Rapp, Supiano, Whelton, Williamson, Wright, Reboussin, Pajewski",,EHR
Machine Learning-Based Prediction of Atrial Fibrillation Risk Using Electronic Medical Records in Older Aged Patients.,2023,HSHee5ce044,"Kao, Huang, Fang, Liu, Chang",,EHR
Machine learning applied to electronic health record data in home healthcare: A scoping review.,2023,PMC9869861,"Hobensack, Song, Scharp, Bowles, Topaz",,EHR
Machine learning based early mortality prediction in the emergency department.,2021,HSH7a9a9d5f,"Li, Zhang, Ren, Nie, Lei, Qiu, Xu, Pu",,EHR
Machine learning models for diabetes management in acute care using electronic medical records: A systematic review.,2022,HSH7c75be55,"Kamel Rahimi, Canfell, Chan, Sly, Pole, Sullivan, Shrapnel",,EHR
Mdpg: a novel multi-disease diagnosis prediction method based on patient knowledge graphs.,2024,PMC10908733,"Wang, Feng, Zhao, Wang, Cai, Cai, Zhang",,EHR
Melatonin and agomelatine for preventing seasonal affective disorder.,2019,PMC6578031,"Nussbaumer-Streit, Greenblatt, Kaminski-Hartenthaler, Van Noord, Forneris, Morgan, Gaynes, Wipplinger, Lux, Winkler, Gartlehner",,EHR
MixEHR-Guided: A guided multi-modal topic modeling approach for large-scale automatic phenotyping using the electronic health record.,2022,HSHed645029,"Ahuja, Zou, Verma, Buckeridge, Li",,EHR
Moving from predicting hospital deaths by antibiotic-resistant bloodstream bacteremia toward actionable risk reduction using machine learning on electronic health records.,2022,PMC9285157,"Jun, Rich, Marini, Feng, Bian, Morris, Prosperi",,EHR
Novel Machine Learning Can Predict Acute Asthma Exacerbation.,2021,PMC8129731,"Zein, Wu, Attaway, Zhang, Nazha",,EHR
Opportunities in digital health and electronic health records for acute kidney injury care.,2022,HSH205db738,"Selby, Pannu",,EHR
Patient need and provider referrals to diabetes self-management education.,2021,HSH91c36f35,"Brown-Podgorski, Shi, Vest",,EHR
Patient-Reported Social Risks and Clinician Decision Making: Results of a Clinician Survey in Primary Care Community Health Centers.,2023,PMC10042556,"Bunce, Donovan, Hoopes, Gottlieb, Krancari, Gold",,EHR
"Performance comparison of machine learning models used for predicting subclinical mastitis in dairy cows: Bagging, boosting, stacking, and super-learner ensembles versus single machine learning models.",2024,HSH169a576b,"Satoła, Satoła",,EHR
Physicians Voluntarily Using an EHR-Based CDS Tool Improved Patients' Guideline-Related Statin Prescription Rates: A Retrospective Cohort Study.,2019,PMC6584145,"Chang, Buchipudi, Fonarow, Pfeffer, Singer, Cheng",,EHR
Potential applications and performance of machine learning techniques and algorithms in clinical practice: A systematic review.,2022,HSH464ae060,"Nwanosike, Conway, Merchant, Hasan",,EHR
Predicting hospital admission at the emergency department triage: A novel prediction model.,2019,HSHc8c10adc,"Parker, Liu, Wu, Shen, Lam, Ong",,EHR
Predicting opioid overdose risk of patients with opioid prescriptions using electronic health records based on temporal deep learning.,2021,HSH1bebcdbb,"Dong, Deng, Hou, Rashidian, Rosenthal, Saltz, Saltz, Wang",,EHR
Predicting post-discharge complications in cardiothoracic surgery: A clinical decision support system to optimize remote patient monitoring resources.,2024,HSHde25f957,"Santos, Ribeiro, Sousa, Santos, Guede-Fernández, Dias, Carreiro, Gamboa, Coelho, Fragata, Londral",,EHR
Predicting short-term outcomes after transcatheter aortic valve replacement for aortic stenosis.,2023,PMC9840674,"Savitz, Leong, Sung, Kitzman, McNulty, Mishell, Rassi, Ambrosy, Go",,EHR
Prediction of Brain Metastases Development in Patients With Lung Cancer by Explainable Artificial Intelligence From Electronic Health Records.,2023,PMC10281421,"Li, Li, Zhou, Rasmy, Zhi, Zhu, Dono, Jiang, Xu, Esquenazi, Zheng",,EHR
Prediction of Clinical Events in Hemodialysis Patients Using an Artificial Neural Network.,2019,HSH27401ce2,"Putra, Nursetyo, Thakur, Roy, Syed-Abdul, Malwade, Li",,EHR
Prediction of Distal Aortic Enlargement after Proximal Repair of Aortic Dissection Using Machine Learning.,2021,HSH3c6ac0c3,"Zhou, Shi, Li, Cai, Ding, Si, Deng, Fu",,EHR
Predictive Modeling of Drug-Related Adverse Events with Real-World Data: A Case Study of Linezolid Hematologic Outcomes.,2024,HSHc5883c8d,"Patel, Doernberg, Zack, Butte, Radtke",,EHR
Predictive Modeling to Identify Children With Complex Health Needs At Risk for Hospitalization.,2023,PMC10158078,"Ming, Zhao, Tang, Chung, Rogers, Stirling, Economou-Zavlanos, Goldstein",,EHR
Predictive analytics for cardiovascular patient readmission and mortality: An explainable approach.,2024,HSHeaff2dbb,"Huberts, Li, Blake, Jorm, Yu, Ooi, Gallego",,EHR
Prognostic nomogram for acute pancreatitis patients: An analysis of publicly electronic healthcare records in intensive care unit.,2019,HSHb048036c,"Jiang, Su, Wang, Deng, Zhao, Jiang, Sun",,EHR
Prospective and External Evaluation of a Machine Learning Model to Predict In-Hospital Mortality of Adults at Time of Admission.,2020,HSHbe9f2f2f,"Brajer, Cozzi, Gao, Nichols, Revoir, Balu, Futoma, Bae, Setji, Hernandez, Sendak",,EHR
Provider Response to a Venous Thromboembolism Risk Assessment and Prophylaxis Ordering Tool: Observational Study.,2022,PMC9797348,"Khan, King, Osmani, Harte, Solomon, Niranjan, Rosenberg",,EHR
Pulmonary Nodules: Common Questions and Answers.,2023,HSHe028389e,"Langan, Goodbred",,EHR
Racial Differences in Planned Hysterectomy Procedure Route.,2022,HSH76d46c02,"Su, Coleman, Bossick, Lee-Griffith, Wegienka",,EHR
Real-time data analysis using a machine learning model significantly improves prediction of successful vaginal deliveries.,2020,HSHb9397736,"Guedalia, Lipschuetz, Novoselsky-Persky, Cohen, Rottenstreich, Levin, Yagel, Unger, Sompolinsky",,EHR
"Recent Applications of Artificial Intelligence in the Detection of Gastrointestinal, Hepatic and Pancreatic Diseases.",2022,HSHd67eb8d2,"Kumar, Khan, Sharma, Aziz, Poddar",,EHR
Recent advancement in integrating artificial intelligence and information technology with real-world data for clinical decision-making in China: A scoping review.,2023,HSH15ea64f2,"Liao, Yao, Zhang, Liu",,EHR
Reducing Disparities in Postpartum Care Utilization: Development of a Clinical Risk Assessment Tool.,2023,PMC10089952,"Tenfelde, Joyce, Tell, Masinter, Wallander-Gemkow, Garfield",,EHR
Risk prediction of delirium in hospitalized patients using machine learning: An implementation and prospective evaluation study.,2020,PMC7647341,"Jauk, Kramer, Großauer, Rienmüller, Avian, Berghold, Leodolter, Schulz",,EHR
SSP: Early prediction of sepsis using fully connected LSTM-CNN model.,2021,HSH84f0ccce,"Rafiei, Rezaee, Hajati, Gheisari, Golzan",,EHR
Schizophrenia Auxiliary Diagnosis System Based on Data Mining Technology.,2019,HSH1e9b9d9d,"Wang, Zhao, Ouyang, Lin, Hu",,EHR
Sex differences in LDL-C control in a primary care population: The PORTRAIT-DYS study.,2023,HSHe7ce99db,"Gavina, Araújo, Teixeira, Ruivo, Corte-Real, Luz-Duarte, Canelas-Pais, Taveira-Gomes",,EHR
Supervised machine learning for the early prediction of acute respiratory distress syndrome (ARDS).,2020,HSH02e723c9,"Le, Pellegrini, Green-Saxena, Summers, Hoffman, Calvert, Das",,EHR
Supervised machine learning-based prediction for in-hospital pressure injury development using electronic health records: A retrospective observational cohort study in a university hospital in Japan.,2021,HSH23856caa,"Nakagami, Yokota, Kitamura, Takahashi, Morita, Noguchi, Ohe, Sanada",,EHR
Surgical Intervention in Patients with Tubo-Ovarian Abscess: Clinical Predictors and a Simple Risk Score.,2019,HSHd2fab64f,"Fouks, Cohen, Shapira, Solomon, Almog, Levin",,EHR
Survey of Information Exchange and Advanced Use of Other Health Information Technology in Primary Care Settings: Capabilities In and Outside of the Safety Net.,2022,PMC8966676,"Cross, Stevens, Spivack, Murray, Rodriguez, Lewis",,EHR
Systematic review of approaches to use of neighborhood-level risk factors with clinical data to predict clinical risk and recommend interventions.,2021,HSH8950f26f,"Wilkinson, Sheets, Fitch, Popejoy",,EHR
The Digital Hospital: A Scoping Review of How Technology Is Transforming Cardiopulmonary Care.,2023,HSH8227d122,"Carrigan, Roberts, Han, John, Khan, Sultani, Austin",,EHR
The Metabolic Vulnerability Index: A Novel Marker for Mortality Prediction in Heart Failure.,2024,PMC10949384,"Conners, Shearer, Joo, Park, Manemann, Remaley, Otvos, Connelly, Sampson, Bielinski, Wolska, Turecamo, Roger",,EHR
The relationship between a cirrhosis-specific comorbidity scoring system and healthcare utilization patterns.,2019,HSH116f8502,"Dashputre, Nemecek, Kamal, Covvey",,EHR
The utility of long-term blood pressure variability for cardiovascular risk prediction in primary care.,2019,HSHc6316066,"Stevens, McManus, Stevens",,EHR
To predict the risk of chronic kidney disease (CKD) using Generalized Additive2 Models (GA2M).,2023,PMC10436146,"Lapi, Nuti, Marconi, Medea, Cricelli, Papi, Gorini, Fiorani, Piccinocchi, Cricelli",,EHR
Toward Optimizing Risk Adjustment in the Dutch Surgical Aneurysm Audit.,2019,HSH0f7ac723,"Lijftogt, Vahl, van der Willik, Leijdekkers, Wouters, Hamming",,EHR
Towards Reliable ARDS Clinical Decision Support: ARDS Patient Analytics with Free-text and Structured EMR Data.,2019,PMC7153087,"Apostolova, Uppal, Galarraga, Koutroulis, Tschampel, Wang, Velez",,EHR
Trustworthy Data and AI Environments for Clinical Prediction: Application to Crisis-Risk in People With Depression.,2023,HSHff4bd261,"Msosa, Grauslys, Zhou, Wang, Buchan, Langan, Foster, Walker, Pearson, Folarin, Roberts, Maskell, Dobson, Kullu, Kehoe",,EHR
Usability and Acceptability of Clinical Decision Support Based on the KIIDS-TBI Tool for Children with Mild Traumatic Brain Injuries and Intracranial Injuries.,2022,PMC9045962,"Greenberg, Otun, Kyaw, Carpenter, Brownson, Kuppermann, Limbrick, Foraker, Yen",,EHR
