feature,importance_normalized,importance_scaled,n_models,models,mc_cv_recall_mean,mc_cv_recall_std
item_87798,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_87807,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_88305,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F349,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F4011,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_FLUCONAZOLE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F419,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F4321,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F4323,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F4324,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F800,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_EQ ITCHY EYE DROPS,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_ESCITALOPRAM OXALATE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F1110,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F1920,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F3341,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F348,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F3481,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F3489,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_DIAZEPAM,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_DIMETAPP DM COLD & COUGH,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_DIPHENHIST,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_DIPHENHYDRAMINE HCL,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_DOXYCYCLINE MONOHYDRATE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F411,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_E860,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_EPINEPHRINE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_H1010,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_H1013,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_H5043,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_H5203,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_H5213,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_H53023,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_H1033,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_FLUOCINOLONE ACETONIDE SC,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_FLUOXETINE HCL,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_FLUOXETINE HYDROCHLORIDE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_G0378,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_G0481,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_G43009,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_GUANFACINE HCL,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_90687,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_90698,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_88346,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_F919,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_FAMOTIDINE,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_FLONASE ALLERGY RELIEF,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_80306,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_80307,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_80320,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_80324,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_80329,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_81000,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_90670,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_83605,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_83704,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_83986,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_84311,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_84436,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_84460,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_74241,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
item_72709,0.21201595307929638,0.04236405522996553,3,"catboost, xgboost, xgboost_rf",0.1193324103984002,0.07904044205841425
