drug_name,cpic_drug_name,gene,gene_name,relationship_type,evidence_level,clinical_significance,cpic_level,variant_id,allele_name,allele_function,allele_frequency_global,allele_frequency_afr,allele_frequency_amr,allele_frequency_eas,allele_frequency_eur,allele_frequency_sas,allele_frequency_assigned,frequency_source,frequency_assignment_method,guideline_id,guideline_url,source
OXYCODONE,oxycodone,OPRM1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PALIPERIDONE,paliperidone,MC4R,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PANTOPRAZOLE,pantoprazole,CYP2C19,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PAROXETINE,paroxetine,CYP2D6,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PAROXETINE,paroxetine,CYP2C19,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PAROXETINE,paroxetine,GRIK4,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PAROXETINE,paroxetine,HTR2A,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PAROXETINE,paroxetine,SLC6A4,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PAROXETINE,paroxetine,FKBP5,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PAROXETINE,paroxetine,HTR1A,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PERPHENAZINE,perphenazine,CYP2D6,,metabolism,CPIC,,B/C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PHENAZOPYRIDINE,phenazopyridine,G6PD,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PHENYTOIN,phenytoin,CYP2C9,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PHENYTOIN,phenytoin,HLA-B,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PHENYTOIN,phenytoin,SCN1A,,metabolism,CPIC,,A,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PIMOZIDE,pimozide,CYP2D6,,metabolism,CPIC,,A/B,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PINDOLOL,pindolol,ADRA2C,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PINDOLOL,pindolol,ADRB1,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PINDOLOL,pindolol,ADRB2,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
PINDOLOL,pindolol,GRK4,,metabolism,CPIC,,C,,,,,,,,,,,CPIC_API_error,api_error,,,CPIC_PAIRS_LOCAL
