title,pubdate,pmc_id,authors,Selected,Category
High-risk TP53 mutations predict poor primary treatment response of patients with head and neck squamous cell carcinoma.,2024,HSHbd06525f,"Caponio, Zhurakivska, Mascitti, Togni, Spirito, Cirillo, Lo Muzio, Troiano",,PGx Risk Model
Identification of a novel stemness-related signature with appealing implications in discriminating the prognosis and therapy responses for prostate cancer.,2023,HSH47ebf7c1,"Zhang, Li, Dai, Yuan, Yuan, Chen, Zhu, Mao, Qin, Liu, Yang",,PGx Risk Model
Importance of immunometabolic markers for the classification of patients with major depressive disorder using machine learning.,2023,HSHfc803dd7,"Sánchez-Carro, de la Torre-Luque, Leal-Leturia, Salvat-Pujol, Massaneda, de Arriba-Arnau, Urretavizcaya, Pérez-Solà, Toll, Martínez-Ruiz, Ferreirós-Martínez, Pérez, Sastre, Álvarez, Soria, López-García",,PGx Risk Model
Incidence and risk factors for gangrene in patients with systemic sclerosis from the EUSTAR cohort.,2020,HSHb263380c,"Mihai, Distler, Gheorghiu, Constantin, Dobrota, Jordan, Smith, Hachulla, Henes, Siegert, Vettori, Müller-Ladner, Matucci Cerinic, Allanore",,PGx Risk Model
Incidence and risk factors of dural ossification in patients with thoracic ossification of the ligamentum flavum.,2023,HSH71d98b3d,"Zhao, Xiang, Jiang, Lin, Wang, Sun, Li",,PGx Risk Model
Increased ultra-processed food consumption is associated with worsening of cardiometabolic risk factors in adults with metabolic syndrome: Longitudinal analysis from a randomized trial.,2023,HSH86faf643,"González-Palacios, Oncina-Cánovas, García-de-la-Hera, Martínez-González, Salas-Salvadó, Corella, Schröder, Martínez, Alonso-Gómez, Wärnberg, Romaguera, López-Miranda, Estruch, Tinahones, Lapetra, Serra-Majem, Cano-Ibañez, Tur, Martín-Sánchez, Pintó, Delgado-Rodríguez, Matía-Martín, Vidal, Vázquez, Daimiel, Ros, Bes-Rastrollo, Atzeni, Sorli, Zomeño, Peña-Orihuela, Compañ-Gabucio, Barón-López, Zulet, Konieczna, Casas, Garrido-Garrido, Tojal-Sierra, Gomez-Perez, Ruiz-Canela, Palau, Saiz, Pérez-Vega, Garcia-Rios, Torres-Collado, Basterra-Gortari, Garcidueñas-Fimbres, Malcampo, Vioque",,PGx Risk Model
Investigating the influence of the gut microbiome on cholelithiasis: unveiling insights through sequencing and predictive modeling.,2024,HSHa588c228,"Boyang, Yanjun, Jing, Chenxin, Ying, Shuwen, Qiang",,PGx Risk Model
Lifestyle Factors and Parkinson Disease Risk: Korean Nationwide Cohort Study With Repeated Health Screening Data.,2022,HSHac40c74d,"Yoon, Park, Lee, Kang, Kim",,PGx Risk Model
Long-term outcomes of deceased donor liver transplantation in hepatocellular carcinoma patients with portal vein tumor thrombus: A multicenter study.,2022,HSH506d844b,"Yu, Zhuang, Liu, Liu, Ling, Deng, Li, Yang, Chen, Wang, Zang, Yang, Zheng, Xu",,PGx Risk Model
Machine Learning Radiomics-Based Prediction of Non-sentinel Lymph Node Metastasis in Chinese Breast Cancer Patients with 1-2 Positive Sentinel Lymph Nodes: A Multicenter Study.,2024,HSH7d26515c,"Lin, Chen, Fan, Zhou, Li, Hu, Cheng, Chen, Kong, Chen, Xu, Peng, Ji",,PGx Risk Model
Machine Learning for Pediatric Echocardiographic Mitral Regurgitation Detection.,2023,HSH4507f76a,"Edwards, Feng, Iqbal, Fu, Sanyahumbi, Hao, McElhinney, Ling, Sable, Luo",,PGx Risk Model
Machine Learning-Derived Integer-Based Score and Prediction of Tertiary Hyperparathyroidism among Kidney Transplant Recipients: An Integer-Based Score to Predict Tertiary Hyperparathyroidism.,2022,PMC9269627,"Hong, Lee, Kim, Jeong, Huh, Rhee",,PGx Risk Model
Machine-learning models for predicting surgical site infections using patient pre-operative risk and surgical procedure factors.,2023,HSH164f1828,"Mamlook, Wells, Sawyer",,PGx Risk Model
Machine-learning-based patient-specific prediction models for knee osteoarthritis.,2019,PMC2656041,"Jamshidi, Pelletier, Martel-Pelletier",,PGx Risk Model
Metabolomics Identifies Placental Dysfunction and Confirms Flt-1 (FMS-Like Tyrosine Kinase Receptor 1) Biomarker Specificity.,2019,HSH166add24,"Austdal, Silva, Bowe, Thomsen, Tangerås, Bjørge, Bathen, Iversen",,PGx Risk Model
Metabolomics Insights in Early Childhood Caries.,2021,PMC8142089,"Heimisdottir, Lin, Cho, Orlenko, Ribeiro, Simon-Soro, Roach, Shungin, Ginnis, Simancas-Pallares, Spangler, Zandoná, Wright, Ramamoorthy, Moore, Koo, Wu, Divaris",,PGx Risk Model
Minimally Invasive Surgery With Thrombolysis for Intracerebral Hemorrhage Evacuation: Bayesian Reanalysis of a Randomized Controlled Trial.,2023,PMC10585679,"Bako, Potter, Pan, Tannous, Britz, Ziai, Awad, Hanley, Vahidy",,PGx Risk Model
"Molecular characteristics, oncogenic roles, and relevant immune and pharmacogenomic features of NEK2 in gastric cancer.",2023,HSHdae95c8d,"Wu, Zheng, Zhang, Shen, Luo, Shen, Song, Zhang, Zhang, Yang, Guo, Xue, Zhang, Feng",,PGx Risk Model
Multi-Objective Optimization for Personalized Prediction of Venous Thromboembolism in Ovarian Cancer Patients.,2020,HSH6d1a50e7,"Fresard, Erices, Bravo, Cuello, Owen, Ibanez, Rodriguez-Fernandez",,PGx Risk Model
Multicategory individualized treatment regime using outcome weighted learning.,2019,HSH6cf1966a,"Huang, Goldberg, Xu",,PGx Risk Model
Multimodal integration of neuroimaging and genetic data for the diagnosis of mood disorders based on computer vision models.,2024,HSHe938b8cc,"Lee, Cho, Ji, Jeon, Kim, Ham, Joo",,PGx Risk Model
Network-based cancer heterogeneity analysis incorporating multi-view of prior information.,2022,PMC9113254,"Li, Xu, Ma, Wu",,PGx Risk Model
New tuberculosis vaccines: advances in clinical development and modelling.,2020,HSH1e347cf9,"Weerasuriya, Clark, White, Harris",,PGx Risk Model
Non-REM Parasomnia: The Promise of Precision Medicine.,2019,HSHf83b44eb,"Erickson, Vaughn",,PGx Risk Model
Nonexercise machine learning models for maximal oxygen uptake prediction in national population surveys.,2023,PMC10114129,"Liu, Herrin, Huang, Khera, Dhingra, Dong, Mortazavi, Krumholz, Lu",,PGx Risk Model
Noninvasive MRI Native T1 Mapping Detects Response to MYCN-targeted Therapies in the Th-MYCN Model of Neuroblastoma.,2020,HSH31743b8c,"Zormpas-Petridis, Poon, Clarke, Jerome, Boult, Blackledge, Carceller, Koers, Barone, Pearson, Moreno, Anderson, Sebire, McHugh, Koh, Chesler, Yuan, Robinson, Jamin",,PGx Risk Model
Novel Polygenic Risk Score and Established Clinical Risk Factors for Risk Estimation of Aortic Stenosis.,2024,PMC10902779,"Small, Melloni, Kamanu, Bergmark, Bonaca, O'Donoghue, Giugliano, Scirica, Bhatt, Antman, Raz, Wiviott, Truong, Wilson, Cho, O'Donnell, Braunwald, Lubitz, Ellinor, Peloso, Ruff, Sabatine, Natarajan, Marston",,PGx Risk Model
Obesity and risk of differentiated thyroid cancer: A large-scale case-control study.,2019,HSHfd334b69,"He, Sun, Li, Liang",,PGx Risk Model
Opioid Exposure and the Risk of Dementia: A National Cohort Study.,2023,HSH3094bf70,"Levine, Rotstein, Goldberg, Reichenberg, Kodesh",,PGx Risk Model
Optimizing sleep staging on multimodal time series: Leveraging borderline synthetic minority oversampling technique and supervised convolutional contrastive learning.,2023,HSHdeb849b6,"Huang, Schmelter, Irshad, Piet, Nisar, Sina, Grzegorzek",,PGx Risk Model
Outcomes of traumatic brain injury: the prognostic accuracy of various scores and models.,2019,HSH9c495302,"Charry, Navarro-Parra, Solano, Moscote-Salazar, Pinzón, Tejada",,PGx Risk Model
