combination,drug_names,interaction_size,n_bins,mean_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_AMOXICILLIN|item_drug_BACLOFEN|item_drug_OMEPRAZOLE,AMOXICILLIN + BACLOFEN + OMEPRAZOLE,3,5,0.06267927409287569,7281,7281
item_drug_CEPHALEXIN|item_drug_LYRICA|item_drug_OMEPRAZOLE,CEPHALEXIN + LYRICA + OMEPRAZOLE,3,5,0.0608481549125404,7281,7281
item_drug_AMOXICILLIN|item_drug_DIAZEPAM|item_drug_LORAZEPAM,AMOXICILLIN + DIAZEPAM + LORAZEPAM,3,5,0.060844999545097166,7281,7281
item_drug_BACLOFEN|item_drug_DIAZEPAM|item_drug_OMEPRAZOLE,BACLOFEN + DIAZEPAM + OMEPRAZOLE,3,5,0.06060418522117833,7281,7281
item_drug_AZITHROMYCIN|item_drug_FUROSEMIDE|item_drug_SIMVASTATIN,AZITHROMYCIN + FUROSEMIDE + SIMVASTATIN,3,5,0.060332190275655825,8128,8128
item_drug_BACLOFEN|item_drug_OMEPRAZOLE,BACLOFEN + OMEPRAZOLE,2,5,0.06026905013885327,7281,7281
item_drug_LORAZEPAM|item_drug_LYRICA|item_drug_OMEPRAZOLE,LORAZEPAM + LYRICA + OMEPRAZOLE,3,5,0.06023699920796747,7281,7281
item_drug_AZITHROMYCIN|item_drug_SIMVASTATIN,AZITHROMYCIN + SIMVASTATIN,2,5,0.060014101761629315,8128,8128
item_drug_AMOXICILLIN|item_drug_DIAZEPAM|item_drug_LYRICA,AMOXICILLIN + DIAZEPAM + LYRICA,3,5,0.059781947661341116,7281,7281
item_drug_AMOXICILLIN|item_drug_LYRICA,AMOXICILLIN + LYRICA,2,5,0.059035693799097434,7281,7281
item_drug_BACLOFEN|item_drug_CEPHALEXIN|item_drug_OMEPRAZOLE,BACLOFEN + CEPHALEXIN + OMEPRAZOLE,3,5,0.05871079621332259,7281,7281
item_drug_BACLOFEN|item_drug_LORAZEPAM|item_drug_OMEPRAZOLE,BACLOFEN + LORAZEPAM + OMEPRAZOLE,3,5,0.058099640508749675,7281,7281
item_drug_AMOXICILLIN|item_drug_CEPHALEXIN|item_drug_LYRICA,AMOXICILLIN + CEPHALEXIN + LYRICA,3,5,0.05788855865348537,7281,7281
item_drug_AMOXICILLIN|item_drug_BACLOFEN|item_drug_DIAZEPAM,AMOXICILLIN + BACLOFEN + DIAZEPAM,3,5,0.05764458896212331,7281,7281
item_drug_DIAZEPAM|item_drug_LORAZEPAM,DIAZEPAM + LORAZEPAM,2,5,0.05751763831718548,7281,7281
item_drug_AMOXICILLIN|item_drug_LORAZEPAM|item_drug_LYRICA,AMOXICILLIN + LORAZEPAM + LYRICA,3,5,0.05727740294891244,7281,7281
item_drug_BACLOFEN|item_drug_LYRICA|item_drug_OMEPRAZOLE,BACLOFEN + LYRICA + OMEPRAZOLE,3,5,0.05703658862499361,7281,7281
item_drug_CEPHALEXIN|item_drug_DIAZEPAM|item_drug_LORAZEPAM,CEPHALEXIN + DIAZEPAM + LORAZEPAM,3,5,0.056876521665544064,7281,7281
item_drug_AMOXICILLIN|item_drug_ARIPIPRAZOLE|item_drug_PREDNISONE,AMOXICILLIN + ARIPIPRAZOLE + PREDNISONE,3,5,0.056253687531014465,7278,7278
item_drug_ARIPIPRAZOLE|item_drug_AZITHROMYCIN|item_drug_PREDNISONE,ARIPIPRAZOLE + AZITHROMYCIN + PREDNISONE,3,5,0.05595476805408224,7278,7278
item_drug_DIAZEPAM|item_drug_LYRICA,DIAZEPAM + LYRICA,2,5,0.0559230604915514,7281,7281
item_drug_AMOXICILLIN|item_drug_BACLOFEN,AMOXICILLIN + BACLOFEN,2,5,0.05582965575027073,7281,7281
item_drug_CEPHALEXIN|item_drug_DIAZEPAM|item_drug_LYRICA,CEPHALEXIN + DIAZEPAM + LYRICA,3,5,0.05581346978178803,7281,7281
item_drug_AMOXICILLIN|item_drug_BACLOFEN|item_drug_CEPHALEXIN,AMOXICILLIN + BACLOFEN + CEPHALEXIN,3,5,0.05575119995426757,7281,7281
item_drug_AZITHROMYCIN|item_drug_OMEPRAZOLE|item_drug_SIMVASTATIN,AZITHROMYCIN + OMEPRAZOLE + SIMVASTATIN,3,5,0.05570138672774337,8128,8128
item_drug_DIAZEPAM|item_drug_LORAZEPAM|item_drug_LYRICA,DIAZEPAM + LORAZEPAM + LYRICA,3,5,0.0552023140772151,7281,7281
item_drug_AMOXICILLIN|item_drug_BACLOFEN|item_drug_LORAZEPAM,AMOXICILLIN + BACLOFEN + LORAZEPAM,3,5,0.05514004424969465,7281,7281
item_drug_AMOXICILLIN|item_drug_AZITHROMYCIN|item_drug_SIMVASTATIN,AMOXICILLIN + AZITHROMYCIN + SIMVASTATIN,3,5,0.05459597533995357,8128,8128
item_drug_ARIPIPRAZOLE|item_drug_OMEPRAZOLE|item_drug_PREDNISONE,ARIPIPRAZOLE + OMEPRAZOLE + PREDNISONE,3,5,0.05441695115500933,7278,7278
item_drug_ARIPIPRAZOLE|item_drug_BENZONATATE|item_drug_CLONAZEPAM,ARIPIPRAZOLE + BENZONATATE + CLONAZEPAM,3,5,0.05438637849240683,8772,8772
