combination,drug_names,interaction_size,n_bins,mean_combined_importance,max_combined_importance,total_patient_rule_profile_support,total_strict_rule_support
item_drug_FLUCONAZOLE|item_drug_METHOCARBAMOL|item_drug_PREDNISONE,FLUCONAZOLE + METHOCARBAMOL + PREDNISONE,3,5,0.01529035267714696,0.025292225830782198,9615,9615
item_drug_ATENOLOL|item_drug_CEPHALEXIN|item_drug_LORAZEPAM,ATENOLOL + CEPHALEXIN + LORAZEPAM,3,5,0.01525576289450734,0.03721309141757987,440,385
item_drug_CEPHALEXIN|item_drug_LISINOPRIL|item_drug_MUPIROCIN,CEPHALEXIN + LISINOPRIL + MUPIROCIN,3,5,0.01521138062724558,0.022916940516706934,8623,8623
item_drug_LORAZEPAM|item_drug_METRONIDAZOLE|item_drug_NAPROXEN,LORAZEPAM + METRONIDAZOLE + NAPROXEN,3,5,0.015041004350402074,0.029896689479037234,6744,6744
item_drug_CARVEDILOL|item_drug_IBUPROFEN|item_drug_LISINOPRIL,CARVEDILOL + IBUPROFEN + LISINOPRIL,3,5,0.0147818131451597,0.018744950637925768,7486,7486
item_drug_FLUCONAZOLE|item_drug_KETOCONAZOLE|item_drug_PREDNISONE,FLUCONAZOLE + KETOCONAZOLE + PREDNISONE,3,5,0.01466680414628238,0.0246152168515824,9517,9517
item_drug_AMOXICILLIN|item_drug_ATENOLOL|item_drug_LORAZEPAM,AMOXICILLIN + ATENOLOL + LORAZEPAM,3,5,0.014458824806189232,0.032484925960774534,420,59
item_drug_AMOXICILLIN|item_drug_CARVEDILOL|item_drug_IBUPROFEN,AMOXICILLIN + CARVEDILOL + IBUPROFEN,3,5,0.014295816808871153,0.0168484992230833,7486,7486
item_drug_CARVEDILOL|item_drug_FUROSEMIDE|item_drug_SIMVASTATIN,CARVEDILOL + FUROSEMIDE + SIMVASTATIN,3,5,0.014226793912916489,0.0343631598088931,4780,2614
item_drug_ALPRAZOLAM|item_drug_BENZONATATE|item_drug_NAPROXEN,ALPRAZOLAM + BENZONATATE + NAPROXEN,3,5,0.014052816578223054,0.02982644492922443,9583,9583
item_drug_FUROSEMIDE|item_drug_LISINOPRIL|item_drug_MELOXICAM,FUROSEMIDE + LISINOPRIL + MELOXICAM,3,5,0.013792458293540593,0.030720424086496136,4765,4467
item_drug_FUROSEMIDE|item_drug_MELOXICAM|item_drug_SIMVASTATIN,FUROSEMIDE + MELOXICAM + SIMVASTATIN,3,5,0.013741267838413753,0.03383321124325266,4765,4467
item_drug_DIAZEPAM|item_drug_IBUPROFEN|item_drug_METHOCARBAMOL,DIAZEPAM + IBUPROFEN + METHOCARBAMOL,3,5,0.013677354987083121,0.030008427498761366,9606,9597
item_drug_ATENOLOL|item_drug_GABAPENTIN|item_drug_LORAZEPAM,ATENOLOL + GABAPENTIN + LORAZEPAM,3,5,0.01350516677086876,0.0322699397073261,304,283
item_drug_GABAPENTIN|item_drug_LORAZEPAM|item_drug_MELOXICAM,GABAPENTIN + LORAZEPAM + MELOXICAM,3,5,0.013381338715539842,0.03758437241971364,4797,4795
item_drug_ATENOLOL|item_drug_LORAZEPAM|item_drug_PREDNISONE,ATENOLOL + LORAZEPAM + PREDNISONE,3,5,0.01332671032095488,0.032074379205726596,103,53
item_drug_ATENOLOL|item_drug_LEVOFLOXACIN,ATENOLOL + LEVOFLOXACIN,2,5,0.01299412241349833,0.0323434633869789,1298,568
item_drug_CEPHALEXIN|item_drug_FUROSEMIDE|item_drug_MELOXICAM,CEPHALEXIN + FUROSEMIDE + MELOXICAM,3,5,0.012992349945219795,0.0304782404827658,4455,4157
item_drug_CLONAZEPAM|item_drug_KETOCONAZOLE|item_drug_NAPROXEN,CLONAZEPAM + KETOCONAZOLE + NAPROXEN,3,5,0.012884638143635394,0.0240154347389594,7410,7067
item_drug_ALPRAZOLAM|item_drug_HYDROCHLOROTHIAZIDE|item_drug_NAPROXEN,ALPRAZOLAM + HYDROCHLOROTHIAZIDE + NAPROXEN,3,5,0.01275590729086708,0.030418958068362065,10000,10000
item_drug_ATENOLOL|item_drug_LEVOFLOXACIN|item_drug_OMEPRAZOLE,ATENOLOL + LEVOFLOXACIN + OMEPRAZOLE,3,5,0.012683983641449787,0.029322977289493,1206,568
item_drug_FUROSEMIDE|item_drug_MELOXICAM|item_drug_OMEPRAZOLE,FUROSEMIDE + MELOXICAM + OMEPRAZOLE,3,5,0.012346208198514598,0.030743140665790997,4752,3388
item_drug_CARVEDILOL|item_drug_LISINOPRIL|item_drug_MUPIROCIN,CARVEDILOL + LISINOPRIL + MUPIROCIN,3,5,0.012242631679270153,0.015890368329680566,7070,7070
item_drug_BENZONATATE|item_drug_HYDROCHLOROTHIAZIDE|item_drug_LISINOPRIL,BENZONATATE + HYDROCHLOROTHIAZIDE + LISINOPRIL,3,5,0.01221808164001988,0.0180199326854709,7278,7254
item_drug_BENZONATATE|item_drug_LISINOPRIL|item_drug_NAPROXEN,BENZONATATE + LISINOPRIL + NAPROXEN,3,5,0.01211567118843754,0.017851842825842033,7278,7254
item_drug_CARVEDILOL|item_drug_FUROSEMIDE|item_drug_MELOXICAM,CARVEDILOL + FUROSEMIDE + MELOXICAM,3,5,0.012039969409064606,0.030969616512746833,4697,2233
item_drug_FUROSEMIDE|item_drug_MELOXICAM|item_drug_PREDNISONE,FUROSEMIDE + MELOXICAM + PREDNISONE,3,5,0.011834666701468306,0.030451908289502398,4701,4391
item_drug_AMOXICILLIN|item_drug_CARVEDILOL|item_drug_MUPIROCIN,AMOXICILLIN + CARVEDILOL + MUPIROCIN,3,5,0.011756635342981606,0.015264857722516866,7070,7070
item_drug_BENZONATATE|item_drug_DIAZEPAM|item_drug_NAPROXEN,BENZONATATE + DIAZEPAM + NAPROXEN,3,5,0.011694470754931194,0.0220967318558833,9583,9583
item_drug_AZITHROMYCIN|item_drug_CARVEDILOL|item_drug_IBUPROFEN,AZITHROMYCIN + CARVEDILOL + IBUPROFEN,3,5,0.011350234151406525,0.014678717730528432,7486,7486
item_drug_BENZONATATE|item_drug_FUROSEMIDE|item_drug_LISINOPRIL,BENZONATATE + FUROSEMIDE + LISINOPRIL,3,5,0.01132714561056632,0.0191427325875871,2747,2745
item_drug_FLUCONAZOLE|item_drug_LEVOFLOXACIN|item_drug_OMEPRAZOLE,FLUCONAZOLE + LEVOFLOXACIN + OMEPRAZOLE,3,5,0.011245377642166567,0.016680403198730234,2875,2874
item_drug_AZITHROMYCIN|item_drug_FLUCONAZOLE|item_drug_METHOCARBAMOL,AZITHROMYCIN + FLUCONAZOLE + METHOCARBAMOL,3,5,0.0110408033633863,0.030279380993106036,9615,9615
item_drug_AMOXICILLIN|item_drug_CARVEDILOL|item_drug_HYDROCHLOROTHIAZIDE,AMOXICILLIN + CARVEDILOL + HYDROCHLOROTHIAZIDE,3,5,0.010968354122332593,0.014131694498524366,7486,7486
item_drug_ATENOLOL|item_drug_CEPHALEXIN|item_drug_LEVOFLOXACIN,ATENOLOL + CEPHALEXIN + LEVOFLOXACIN,3,5,0.010947752548464827,0.027349291008635503,1214,568
