feature,importance_normalized,importance_scaled,n_models,models
item_ALBUTEROL SULFATE,0.016420450336444577,0.0019650951273969715,3,"catboost,xgboost,xgboost_rf"
item_CARAFATE,0.016184933725596564,0.001936909996361236,3,"catboost,xgboost,xgboost_rf"
item_INCRUSE ELLIPTA,0.016184678602211677,0.0019368794648161045,3,"catboost,xgboost,xgboost_rf"
item_OSELTAMIVIR PHOSPHATE,0.015711605189112205,0.0018802650456049858,3,"catboost,xgboost,xgboost_rf"
item_SERTRALINE HYDROCHLORIDE,0.015666152331981598,0.001874825536563301,3,"catboost,xgboost,xgboost_rf"
item_HYDROXYZINE PAMOATE,0.015526036849768202,0.001858057406230157,3,"catboost,xgboost,xgboost_rf"
item_SPIRIVA RESPIMAT,0.015304675467019396,0.0018315662829222854,3,"catboost,xgboost,xgboost_rf"
item_FLECAINIDE ACETATE,0.015144115147557057,0.001812351444415179,3,"catboost,xgboost,xgboost_rf"
item_LANTUS,0.01486943999330862,0.0017794800677981423,3,"catboost,xgboost,xgboost_rf"
item_FENTANYL,0.014851967498128312,0.00177738907063066,3,"catboost,xgboost,xgboost_rf"
item_NOVOLOG FLEXPEN,0.014849938034597339,0.0017771461973346036,3,"catboost,xgboost,xgboost_rf"
item_ARIPIPRAZOLE,0.014792291251153352,0.0017702473966966902,3,"catboost,xgboost,xgboost_rf"
item_PIPERACILLIN SODIUM/TAZOB,0.014790818096168777,0.0017700710988715529,4,"catboost,xgboost,xgboost_rare,xgboost_rf"
item_LINZESS,0.01468419727901205,0.001757311397159308,3,"catboost,xgboost,xgboost_rf"
item_LOPERAMIDE HCL,0.014572537775771761,0.0017439486975226201,3,"catboost,xgboost,xgboost_rf"
item_ANORO ELLIPTA,0.014521912847069824,0.0017378902278291186,3,"catboost,xgboost,xgboost_rf"
item_DONEPEZIL HYDROCHLORIDE,0.01445725857305516,0.0017301528152595242,3,"catboost,xgboost,xgboost_rf"
item_CHLORHEXIDINE GLUCONATE,0.014330951546268142,0.0017150371931048574,3,"catboost,xgboost,xgboost_rf"
item_LISINOPRIL,0.01426913807054763,0.001707639749218909,3,"catboost,xgboost,xgboost_rf"
item_ALENDRONATE SODIUM,0.01426796699374831,0.0017074996021909654,3,"catboost,xgboost,xgboost_rf"
item_OXYBUTYNIN CHLORIDE ER,0.01420909573045116,0.0017004542635870557,3,"catboost,xgboost,xgboost_rf"
item_HYDROCHLOROTHIAZIDE,0.014046615059039773,0.0016810096095645013,3,"catboost,xgboost,xgboost_rf"
item_DOXYCYCLINE MONOHYDRATE,0.014028396764581695,0.0016788293598797776,3,"catboost,xgboost,xgboost_rf"
item_FOLIC ACID,0.014001409911411246,0.0016755997448215764,3,"catboost,xgboost,xgboost_rf"
item_ACETAMINOPHEN/CODEINE PHO,0.013996423767248432,0.001675003034780251,3,"catboost,xgboost,xgboost_rf"
item_ENTRESTO,0.013832083382272225,0.001655335822058653,3,"catboost,xgboost,xgboost_rf"
item_CITALOPRAM,0.01377470090996725,0.0016484686524978873,3,"catboost,xgboost,xgboost_rf"
item_LIDOCAINE/PRILOCAINE,0.013724927146974614,0.0016425120449064406,3,"catboost,xgboost,xgboost_rf"
item_HALOPERIDOL,0.013276825850764385,0.001588886129921112,3,"catboost,xgboost,xgboost_rf"
item_CITALOPRAM HYDROBROMIDE,0.013132281289814189,0.0015715879555961033,3,"catboost,xgboost,xgboost_rf"
item_BUSPIRONE HYDROCHLORIDE,0.013052588045816294,0.0015620507746870547,3,"catboost,xgboost,xgboost_rf"
item_VITAMIN D,0.012999753565833121,0.0015557278799401882,3,"catboost,xgboost,xgboost_rf"
item_POLYMYXIN B SULFATE/TRIME,0.0128673054465788,0.0015398773308720002,3,"catboost,xgboost,xgboost_rf"
item_FLUDROCORTISONE ACETATE,0.01282681450695441,0.0015350316325793648,3,"catboost,xgboost,xgboost_rf"
item_CREON,0.012507009589207613,0.001496759412712958,3,"catboost,xgboost,xgboost_rf"
item_LEVEMIR,0.012131462048249662,0.0014518162700024046,3,"catboost,xgboost,xgboost_rf"
item_INDOMETHACIN,0.012072374212431009,0.0014447450133756629,3,"catboost,xgboost,xgboost_rf"
item_CARTIA XT,0.011917140286290978,0.0014261676037666566,3,"catboost,xgboost,xgboost_rf"
item_VENLAFAXINE HCL ER,0.011790517354220903,0.0014110141760756167,3,"catboost,xgboost,xgboost_rf"
item_REVLIMID,0.011731135757145846,0.001403907763968864,3,"catboost,xgboost,xgboost_rf"
item_PHARMACIST CHOICE ULTRA T,0.011567432248553748,0.0013843167685649112,4,"catboost,xgboost,xgboost_rare,xgboost_rf"
item_AMITRIPTYLINE HYDROCHLORI,0.011534517576389736,0.0013803777498069534,3,"catboost,xgboost,xgboost_rf"
item_PRAVASTATIN SODIUM,0.01145860890989622,0.001371293483078742,3,"catboost,xgboost,xgboost_rf"
item_OXCARBAZEPINE,0.011361372357484493,0.0013596568305245138,3,"catboost,xgboost,xgboost_rf"
item_ROPINIROLE HCL,0.011358614824494972,0.0013593268265032893,3,"catboost,xgboost,xgboost_rf"
