feature,importance_normalized,importance_scaled,n_models,models
item_EXEMESTANE,0.004468750162444874,0.0005982330131516909,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_CALCIPOTRIENE,0.004465484049742025,0.0005977957775998047,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_DESVENLAFAXINE ER,0.004465267068817827,0.0005977667302941015,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_PHENYTOIN,0.004453651216650986,0.0005962117124502997,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_TOBRAMYCIN SULFATE,0.004443638633669079,0.0005948713247649384,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_CLINDAMYCIN PHOSPHATE,0.004415071722962185,0.0005910470632941941,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_METHAZOLAMIDE,0.004413204391111311,0.000590797082982229,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_ASPIRIN EC LOW DOSE,0.004410742945053777,0.0005904675684114472,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_XTANDI,0.004410725943004696,0.0005904652923417002,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_AMILORIDE HCL,0.004402365183303276,0.0005893460347670764,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_SYSTANE ULTRA,0.004391295921980033,0.0005878641892142823,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_TRIAZOLAM,0.004387082207500426,0.000587300097909541,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_PROPYLTHIOURACIL,0.004358274533227373,0.0005834436053432096,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_PROBENECID/COLCHICINE,0.00435554719530958,0.0005830784957440746,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_FLUVASTATIN,0.004354853112984347,0.0005829855787212594,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_DIGITEK,0.004344584310628213,0.0005816108908663429,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_LIVALO,0.00434075608667529,0.0005810984053016713,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_FLECTOR,0.004338102586060137,0.0005807431803258507,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_POTASSIUM CHLORIDE SR,0.004328656125411017,0.0005794785796182,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_DICLOFENAC SODIUM ER,0.004316936473412067,0.0005779096660576833,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_LORAZEPAM INTENSOL,0.004313706709049549,0.0005774772964697398,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_FISH OIL,0.004300508429530501,0.000575710438570309,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_GLIPIZIDE/METFORMIN HYDRO,0.004299845760707024,0.0005756217268830185,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_ACETAZOLAMIDE,0.004293959942445101,0.000574833790510275,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_MI-ACID GAS RELIEF,0.004292920808588586,0.0005746946813286352,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_RISAMINE,0.004284830054253661,0.0005736115694587596,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_WELCHOL,0.004282679618653366,0.0005733236899573354,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_PREDNISOLONE SODIUM PHOSP,0.00427956341965419,0.0005729065234008956,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_OYSTER SHELL CALCIUM,0.004276447915500727,0.0005724894498636736,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_GLYBURIDE/METFORMIN HYDRO,0.004259873206975755,0.0005702705883335896,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
item_MATZIM LA,0.00425635084877396,0.0005697990491148237,5,"catboost,catboost_rare,xgboost,xgboost_rare,xgboost_rf"
